comment,sentiment
J'ai réservé ma table quelques mois à l'avance. Le service était impeccable pendant tout le processus. Nous sommes arrivés à temps et étaient rapidement assis. Un personnel très accueillant attention à tous les détails. Nous avons eu un verre de champagne tandis que nous avons...Plus,Positive
Que dire... Nicolas sale est un chef d exception... Que dire... Rien.. Ou tout.. Tout est incroyable... Subtil... Délicat.. Envoûtant.. Délicieux.. Tout est fin.. Extrêmement bien dosé...c'est une table d exception ! Le turbot roti a l ancienne en photo.. Et La volaille-écrevisse.. Un met...Plus,Positive
Dans une rue tranquille non loin du Panthéon un joyau culinaire. Diner-menu à 59 € en 5 services + choix de vin (2 verres de blanc Riesling et Pernand Vergelesses délicieux tous deux ) à 19 €. Les plats sont très bien réalisés d'une cuisine...Plus,Positive
Rien à redire le restaurant est irréprochablement propre le service est discret mais courtois et le menu est simple mais efficace. Sans parler du caviar... Merci pour ce délicieux moment je reviendrai !,Positive
Comme avec les autres commentaires nos repas étaient incroyablement délicieuse et belle présentation du début à la fin! Ce restaurant est assez petite et extrêmement populaire donc il est obligatoire de réserver bien à l'avance. Le site internet est très facile et pratique de faire...Plus,Positive
Déjeuner hier avec une copine. Impossible de réserver une table mais ce n'est pas grave il y a la queue devant le restaurant mais on n'attend pas longtemps. La patronne accueille les gens elle est drole et très sympa. L’assiette végétarienne est excellente : tout...Plus,Positive
Visite dimanche midi accueil super conviviale familiale avec la sensation d'aller manger chez sa petite mamie. Explications de toutes les particularités de la cuisine iranienne et les propositions d'accord de plats entre eux... Miam! La cuisine est excellente tout fait maison un régal de saveurs...Plus,Positive
Ce restaurant devrait servir d’exemple dans les écoles d’hôtellerie ! Personnel très agréable et attentionné sans être intrusif. Rapport qualité prix excellent. Les plats proposés sont goûteux et les serveurs sont de bon conseil. Un apéritif et un digestif sont offerts ce qui rend cette...Plus,Positive
Oxte sert une cuisine originale et élaborée. Malheureusement si les juxtapositions imaginées par le chef ont d'abord excité notre curiosité la saveur des plats avec beaucoup de notes sucrées ne nous a pas paru au niveau des efforts qu'avaient nécessité leur préparation. Service assez lent...Plus,Negative
On voulait réserver donc comme tout le monde on appelle et on dit bonjour. ... et sans nous laisser de temps de dire ouf on nous répond qu'on a pas le temps et qu'il faut rappeler ... et on nous raccrohe au nez ! Donc...Plus,Negative
La nourriture était très bonne avec des produits frais et bien présenté. Le personnel était sympathique professionnel et dynamique. Mais quand j'ai mis 4 étoiles car ce qu'il en est du niveau sonore et certaines portions sont trop petites et les vins étaient très chères.,Positive
Ce restaurant ne vaut pas une étoile Michelin. Le Burger n'était pas bon il y avait des poivrons (non précisé sur le menu) et on sentait à peine le bacon. Mon mari a pris une côté de bœuf qui était moyennement bonne. Le service laisse...Plus,Negative
Trouvé sur trip advisor j'ai fait une réservation dans ce restaurant pour un samedi soir. La carte disponible sur internet offrait du choix et des prix raisonnables. A notre arrivée on nous présente une carte avec seulement deux menus (l'un de 8 services à 55€...Plus,Positive
Depuis le changement des propriétaires je trouve que la qualité des produits ainsi que celle de l'organisation de vente à fléchi. Je suis une adepte des salades que l'on ne peut plus manger les yeux fermés car bcp de feuilles sont pourries au milieu chose...Plus,Negative
Troisième repas à l'Elan 9 (déjeuner / dîner / entre amis / avec bébé...) et toujours un super moment ! On s'y sent bien lieu et accueil très chaleureux. Le chef prépare sous nos yeux de très belles assiettes et on se régale !,Positive
Un cadre incroyable une équipe extrêmement sympathique et des mets succulents. Le chef sait marier les saveurs même inhabituelles mais sans trop en faire ce qui peut séduire les palets plus classiques et les envies d'originalité. Nous y sommes allés avec un enfant de 4...Plus,Positive
Tout fut parfait l'accueil est chaleureux le cadre est magnifique les attentions sont délicates les mets un régal... Soirée inoubliable Bravo à toute l'équipe,Positive
Nous avons pris le menu esprit de Pierre Gagnaire et nous avons ainsi accéder à une multitude de plats mettant en avant toute l'inventivité du fameux restaurateur. L'accompagnement des vins n'a fait que sublimer les mets. Nous avons passé un moment exceptionnel ce soir là....Plus,Positive
Le repas était très bon même si les portions sont vraiment petites. En revanche question service ce n'est vraiment pas digne d un étoilé.Lors du service du vinsur les 5 fois où les serveurs sont venus remplir les verres4 fois une goutte de vin a...Plus,Negative
Je suis d'accord avec les visiteurs qui conspuent ce lieu sans hygiène Pas cher? Oui Copieux? Oui Bon? Non Fait maison? Non Sain propre? NON Infecte de saleté Le cuisinier qui fait les crêpes s'occupe aussi de la caisse. Donc vous aurez une crêpe complète...Plus,Negative
Nous y avons été pour un événement familial la découverte culinaire est top de très bons plats de belles associations que nous ne voyons que peu souvent dans d’autres restaurants! Le côté surprise est super chouette et en même temps ils s’adaptent aux régimes spécifiques....Plus,Positive
Le classicisme de la table française rehaussée par des saveurs asiatiques. Une grande réussite une de mes table préférées à Paris. Une carte régulièrement renouvelée. William Ledeuil est un vrai chef. Beau décor service net et aimable. Bonne carte des vins. Trop cher le soir....Plus,Positive
Qualité de l'accueil 100% Qualité de la nourriture 100% hyper frais Qualité du menu 100% avec des choix simples à faire et une assiette très généreuse Belle découverte Bravo,Positive
